OrderCode,ProductCode,TechSpecsFeatSysModel,Processor,Operating System,Memory,Hard Drive,Display,System_type
XCTOL528512USR,latitude-12-5285-2-in-1-laptop,"{""TechSpecs"":[{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e4-processor"",""Label"":""Processor\r\n"",""Value"":""Intel® Core™ i5-7300U Processor (3M Cache, up to 3.50 GHz)""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/operating-system"",""Label"":""Operating System"",""Value"":""Windows 10 Pro 64bit English, French, Spanish""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/help-me-choose-memory-latit-eseries"",""Label"":""Memory<a class=\""technote microcontent\"" rel=\""technotes:1-gb\"">*</a>"",""Value"":""8G 1866MHz LPDDR3""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e-series-hard-drive"",""Label"":""Hard Drive"",""Value"":""M.2 256GB SATA Class 20 Solid State Drive""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e-series-lcd"",""Label"":""Display"",""Value"":""12.3\"" 3:2 Touch (1920 x 1280)""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-microsoft-office-2016-commercial"",""Label"":""Microsoft Office"",""Value"":""Microsoft Office 30 Day Trial""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-support-services-smb"",""Label"":""Warranty<a class=\""technote microcontent\"" rel=\""technotes:warranty-and-onsite-service\"">*</a>"",""Value"":""1 Year Hardware Service with In-Home/Onsite Service After Remote Diagnosis""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-mobro"",""Label"":"""",""Value"":""No Mobile Broadband Card""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e4-wireless"",""Label"":""Wireless"",""Value"":""Intel 8265 Wi-Fi + BT 4.2 Wireless Card (2x2), Face IR Capable""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e-series-battery"",""Label"":""Primary Battery"",""Value"":""42 WHr Polymer, ExpressCharge™ Capable""},{""LearnMoreUrl"":"""",""Label"":""Ports"",""Value"":""2 Display Port over USB Type-C™ <br />1 USB 3.0 (With PowerShare)<br />1 Universal jack<br />1 Noble Wedge Lock slot<br />1 uSD 4.0 Memory card reader<br />1 uSIM card slot (WWAN only)""},{""LearnMoreUrl"":"""",""Label"":""Dimensions"",""Value"":""Tablet only – Height: 0.38\"" (9.76 mm) x Width: 11.5\"" (292 mm) x Depth: 8.22\"" (208.8 mm)<br />With Travel Keyboard – Height: 0.59\"" (14.9 mm) x Width: 11.5\"" (292 mm) x Depth: 8.52\"" (216.4 mm)<br /><strong>Starting weight:</strong> <br />Tablet only - 1.89 lbs (0.86 kg)<br />With Travel Keyboard – 2.64 lbs (1.19 kg)""},{""LearnMoreUrl"":"""",""Label"":""Regulatory"",""Value"":""Energy Star 6.1, EPEAT Gold registered, BFR/PVC Free (not including PSU), Hg-Free/Arsenic-Free, TAA compliant<br /><br /><a href=\""http://www.dell.com/learn/product-info-datasheets-safety-emc-environmental?s=corp\"" target=\""_blank\"">Product Safety, EMC and Environmental Datasheets</a><br /><a href=\""http://www.dell.com/learn/regulatory-compliance?s=corp\"" target=\""_blank\"">Dell Regulatory Compliance Home Page</a><br /><a href=\""http://content.dell.com/sites/content/_layouts/xdb.ashx?global:browse:environment-spec\"" target=\""_blank\"">Dell and the Environment</a>""}]}","Intel® Core™ i5-7300U Processor (3M Cache, up to 3.50 GHz)","Windows 10 Pro 64bit English, French, Spanish",8G 1866MHz LPDDR3,M.2 256GB SATA Class 20 Solid State Drive,"12.3"" 3:2 Touch (1920 x 1280)",laptop
XCTOL528912USR,latitude-12-5289-2-in-1-laptop,"{""TechSpecs"":[{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e4-processor"",""Label"":""Processor\r\n"",""Value"":""Intel® Core™ i7-7600U Processor (4M Cache, up to 3.90 GHz)""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/operating-system"",""Label"":""Operating System"",""Value"":""Windows 10 Pro 64-bit English, French, Spanish""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/help-me-choose-memory-latit-eseries"",""Label"":""Memory<a class=\""technote microcontent\"" rel=\""technotes:1-gb\"">*</a>"",""Value"":""16G 1866MHz LPDDR3""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e-series-hard-drive"",""Label"":""Hard Drive"",""Value"":""M.2 256GB SATA Solid State Drive""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e-series-lcd"",""Label"":""Display"",""Value"":""FHD (1920 X 1080) Touch LCD with Mic/IR Camera""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-microsoft-office-2016-commercial"",""Label"":""Microsoft Office"",""Value"":""Microsoft Office 30 Day Trial""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-support-services-smb"",""Label"":""Warranty<a class=\""technote microcontent\"" rel=\""technotes:warranty-and-onsite-service\"">*</a>"",""Value"":""1 Year Hardware Service with In-Home/Onsite Service After Remote Diagnosis""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-mobro"",""Label"":"""",""Value"":""No Mobile Broadband Card""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e4-wireless"",""Label"":""Wireless"",""Value"":""Intel 8265 Wi-Fi + BT 4.2 Wireless Card (2x2)""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e-series-battery"",""Label"":""Primary Battery"",""Value"":""60 WHr Polymer Primary Battery, ExpressCharge™ capable""},{""LearnMoreUrl"":"""",""Label"":""Ports"",""Value"":""2 Display Port over USB Type-C™ <br />2 USB 3.0 (with PowerShare)<br />1 Universal jack<br />1 Noble Wedge Lock slot<br />1 uSD 4.0 Memory card reader<br />1 uSIM card slot (WWAN only)""},{""LearnMoreUrl"":"""",""Label"":""Dimensions"",""Value"":""Height: 0.47''- 0.73” (12.03-18.45 mm) x Width: 12” (304.8 mm) x Depth 8.26” (210 mm)<br />Starting weight: 2.97lbs (1.34 kg)<br /><div id=\""radePasteHelper\"" style=\""position: absolute; left: -10000px; border: 0px solid red; top: 0px; width: 1px; height: 1px; overflow: hidden;\""></div>""},{""LearnMoreUrl"":"""",""Label"":""Regulatory"",""Value"":""Energy Star 6.1, EPEAT Gold registered, BFR/PVC Free (not including PSU), Hg-Free/Arsenic-Free, TAA compliant<br /><br /><a href=\""http://content.dell.com/sites/content/_layouts/xdb.ashx?global:browse:productsafety-spec\"" target=\""_blank\"">Product Safety, EMC and Environmental Datasheets</a><br /><a href=\""http://content.dell.com/sites/content/_layouts/xdb.ashx?global:browse:regulatory-spec\"" target=\""_blank\"">Dell Regulatory Compliance Home Page</a><br /><a href=\""http://content.dell.com/sites/content/_layouts/xdb.ashx?global:browse:environment-spec\"" target=\""_blank\"">Dell and the Environment</a>""}]}","Intel® Core™ i7-7600U Processor (4M Cache, up to 3.90 GHz)","Windows 10 Pro 64-bit English, French, Spanish",16G 1866MHz LPDDR3,M.2 256GB SATA Solid State Drive,FHD (1920 X 1080) Touch LCD with Mic/IR Camera,laptop
XCTOL529012USR,latitude-12-5290-laptop,"{""TechSpecs"":[{""LearnMoreUrl"":"""",""Label"":""Processor\r\n"",""Value"":""Intel® Core™ i3-7130U (Dual Core, 3M Cache, 2.7GHz,15W)""},{""LearnMoreUrl"":"""",""Label"":""Operating System"",""Value"":""Windows 10 Pro 64bit English, French, Spanish""},{""LearnMoreUrl"":"""",""Label"":""Memory<a class=\""technote microcontent\"" rel=\""technotes:graphic card\"">*</a>"",""Value"":""4GB, 1x4GB, 2400MHz DDR4 Non-ECC""},{""LearnMoreUrl"":"""",""Label"":""Hard Drive"",""Value"":""2.5\"" 500GB  SATA 7200 RPM Hard Drive""},{""LearnMoreUrl"":"""",""Label"":""Display"",""Value"":""12.5” HD (1366 x 768) Non-Touch LCD with Mic/Camera, WLAN Capable""},{""LearnMoreUrl"":"""",""Label"":""Productivity Software"",""Value"":""Microsoft Office 30 Day Trial""},{""LearnMoreUrl"":"""",""Label"":""Warranty"",""Value"":""1 Year Hardware Warranty with Onsite/In-Home Service after Remote Diagnosis""},{""LearnMoreUrl"":"""",""Label"":""Security Software"",""Value"":""No Security Software""},{""LearnMoreUrl"":"""",""Label"":"""",""Value"":""No Wireless WAN Card""},{""LearnMoreUrl"":"""",""Label"":""Wireless"",""Value"":""Intel 8265AC WW WLAN (No Bluetooth)""},{""LearnMoreUrl"":"""",""Label"":""Primary Battery"",""Value"":""3 Cell 51Whr ExpressCharge Capable Battery""}]}","Intel® Core™ i3-7130U (Dual Core, 3M Cache, 2.7GHz,15W)","Windows 10 Pro 64bit English, French, Spanish","4GB, 1x4GB, 2400MHz DDR4 Non-ECC","2.5"" 500GB  SATA 7200 RPM Hard Drive","12.5” HD (1366 x 768) Non-Touch LCD with Mic/Camera, WLAN Capable",laptop
XCTOL5290132N1USR,latitude-12-5290-2-in-1-laptop,"{""TechSpecs"":[{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e4-processor"",""Label"":""Processor\r\n"",""Value"":""Intel® Core™ i5-8350U Processor (Quad Core, 6M Cache, 1.7GHz,15W, vPro)""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/operating-system"",""Label"":""Operating System"",""Value"":""Windows 10 Pro 64bit English, French, Spanish""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/help-me-choose-memory-latit-eseries"",""Label"":""Memory<a class=\""technote microcontent\"" rel=\""technotes:graphic card\"">*</a>"",""Value"":""8G 1866MHz LPDDR3""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e-series-hard-drive"",""Label"":""Hard Drive"",""Value"":""M.2 256GB SATA Class 20 Solid State Drive""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e-series-lcd"",""Label"":""Display"",""Value"":""12.3\"" Touch  3:2 WUXGA+ (1920 x 1280)""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-microsoft-office-2016-commercial"",""Label"":""Productivity Software"",""Value"":""Microsoft Office 30 Day Trial""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-support-services-smb"",""Label"":""Warranty"",""Value"":""1 Year Hardware Warranty with Onsite/In-Home Service after Remote Diagnosis""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-mcafee-commercial"",""Label"":""Security Software"",""Value"":""No Security Software""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-mobro"",""Label"":"""",""Value"":""No Mobile Broadband Card""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e4-wireless"",""Label"":""Wireless"",""Value"":""Intel 8265 Wi-Fi + BT 4.2 Wireless Card (2x2), Face IR Capable""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e-series-battery"",""Label"":""Primary Battery"",""Value"":""32 WHr Polymer, ExpressCharge™ Capable""}]}","Intel® Core™ i5-8350U Processor (Quad Core, 6M Cache, 1.7GHz,15W, vPro)","Windows 10 Pro 64bit English, French, Spanish",8G 1866MHz LPDDR3,M.2 256GB SATA Class 20 Solid State Drive,"12.3"" Touch  3:2 WUXGA+ (1920 x 1280)",laptop
XCTOL541414USR,latitude-14-5414-laptop,"{""TechSpecs"":[{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e4-processor"",""Label"":""Processor\r\n"",""Value"":""Intel® Core™ i5-6300U Processor (3M Cache, 2.40 GHz) without Security Bundle""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/operating-system"",""Label"":""Operating System"",""Value"":""Windows 10 Pro 64bit English, French, Spanish""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/help-me-choose-memory-latit-eseries"",""Label"":""Memory<a class=\""technote microcontent\"" rel=\""technotes:graphic card\"">*</a>"",""Value"":""4GB (1x4GB) 2133MHz DDR4 Memory""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e-series-hard-drive"",""Label"":""Hard Drive"",""Value"":""1TB Mobility Solid State Drive""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e4-graphic-card"",""Label"":""Video Card"",""Value"":""Intel ® HD Graphics 520""},{""LearnMoreUrl"":""http://www.dell.com/learn/pr/en/prbsdt1/help-me-choose/hmc-latitude-e-series-lcd"",""Label"":""Display"",""Value"":""14.0\"" HD (1366x768) Screen, Webcam with Privacy Shutter and Mic, Non-touch""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-optical-drives"",""Label"":""Optical Drive\r\n"",""Value"":""No Optical Drive or Hot-Swap Bridge Battery""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-microsoft-office-2016-commercial"",""Label"":""Productivity Software"",""Value"":""Microsoft Office 30 Day Trial""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-support-services-smb"",""Label"":""Warranty"",""Value"":""3 Years Ltd Hware Warranty: Mail-in; Customer supplies box, Dell pays shipping""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-mobro"",""Label"":"""",""Value"":""No Mobile Broadband Card WLAN/WWAN""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e4-wireless"",""Label"":""Wireless"",""Value"":""Intel® Dual-Band Wireless-AC 8260 Wi-Fi + BT 4.2 Wireless Card""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e-series-battery"",""Label"":""Primary Battery"",""Value"":""6-cell (65Wh) Lithium Ion Battery""}]}","Intel® Core™ i5-6300U Processor (3M Cache, 2.40 GHz) without Security Bundle","Windows 10 Pro 64bit English, French, Spanish",4GB (1x4GB) 2133MHz DDR4 Memory,1TB Mobility Solid State Drive,"14.0"" HD (1366x768) Screen, Webcam with Privacy Shutter and Mic, Non-touch",laptop
XCTOL548014USR,latitude-14-5480-laptop,"{""TechSpecs"":[{""LearnMoreUrl"":"""",""Label"":""Processor\r\n"",""Value"":""Intel® Core i7-6600U (Dual Core, 2.6GHz, 4M cache, 15W, vPro) supports Windows 7/8.1/10/Linux""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/operating-system"",""Label"":""Operating System"",""Value"":""Windows 10 Pro 64bit English, French, Spanish""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/help-me-choose-memory-latit-eseries"",""Label"":""Memory<a class=\""technote microcontent\"" rel=\""technotes:graphic card\"">*</a>"",""Value"":""4GB 1X4GB, DDR4 Memory,2400 MHz,Non-ECC""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e-series-hard-drive"",""Label"":""Hard Drive"",""Value"":""M.2 512GB PCIe NVMe Class 40 Opal 2.0 SED Drive""},{""LearnMoreUrl"":"""",""Label"":""Video Card"",""Value"":""NVIDIA® GeForce 930MX 1020MHz 64 Bit for i7-6600UV Processor""},{""LearnMoreUrl"":"""",""Label"":""Display"",""Value"":""Non-Touch HD (1366 x 768) LCD w/ HD Cam (WWAN)""},{""LearnMoreUrl"":"""",""Label"":""Productivity Software"",""Value"":""Microsoft Office 30 Day Trial""},{""LearnMoreUrl"":"""",""Label"":""Warranty"",""Value"":""1 Year Hardware Service with In-Home/Onsite Service After Remote Diagnosis""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-mcafee-commercial"",""Label"":""Security Software"",""Value"":""No Security Software""},{""LearnMoreUrl"":"""",""Label"":"""",""Value"":""No Wireless WAN Card""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e4-wireless"",""Label"":""Wireless"",""Value"":""Qualcomm QCA61x4A 802.11ac Dual Band (2x2) Wireless Adapter+ Bluetooth 4.1""},{""LearnMoreUrl"":"""",""Label"":""Primary Battery"",""Value"":""3 cell, 51WHR Primary Battery""}]}","Intel® Core i7-6600U (Dual Core, 2.6GHz, 4M cache, 15W, vPro) supports Windows 7/8.1/10/Linux","Windows 10 Pro 64bit English, French, Spanish","4GB 1X4GB, DDR4 Memory,2400 MHz,Non-ECC",M.2 512GB PCIe NVMe Class 40 Opal 2.0 SED Drive,Non-Touch HD (1366 x 768) LCD w/ HD Cam (WWAN),laptop
XCTOL549014USR,latitude-14-5490-laptop,"{""TechSpecs"":[{""LearnMoreUrl"":"""",""Label"":""Processor\r\n"",""Value"":""7th Gen Intel® Core™ i5-7300U (Dual Core, 3M Cache, 2.6GHz,15W, vPro)""},{""LearnMoreUrl"":"""",""Label"":""Operating System"",""Value"":""Windows 10 Home 64bit Spanish""},{""LearnMoreUrl"":"""",""Label"":""Memory<a class=\""technote microcontent\"" rel=\""technotes:graphic card\"">*</a>"",""Value"":""4GB 1x4GBDDR4 2400MHz Non-ECC""},{""LearnMoreUrl"":"""",""Label"":""Hard Drive"",""Value"":""M.2 128GB PCIe NVMe Class 35 Solid State Drive""},{""LearnMoreUrl"":"""",""Label"":""Display"",""Value"":""14\"" FHD WVA 1920 x 1080 Anti-Glare Non-Touch, Camera & Microphone, WLAN Capable""},{""LearnMoreUrl"":"""",""Label"":""Productivity Software"",""Value"":""No Productivity Software""},{""LearnMoreUrl"":"""",""Label"":""Warranty"",""Value"":""1 Year Mail In Service""},{""LearnMoreUrl"":"""",""Label"":""Security Software"",""Value"":""No Security Software""},{""LearnMoreUrl"":"""",""Label"":"""",""Value"":""No Wireless WAN Card""},{""LearnMoreUrl"":"""",""Label"":""Wireless"",""Value"":""No Wireless LAN Card""},{""LearnMoreUrl"":"""",""Label"":""Primary Battery"",""Value"":""3 Cell 42Whr ExpressCharge Capable Battery""}]}","7th Gen Intel® Core™ i5-7300U (Dual Core, 3M Cache, 2.6GHz,15W, vPro)",Windows 10 Home 64bit Spanish,4GB 1x4GBDDR4 2400MHz Non-ECC,M.2 128GB PCIe NVMe Class 35 Solid State Drive,"14"" FHD WVA 1920 x 1080 Anti-Glare Non-Touch, Camera & Microphone, WLAN Capable",laptop
XCTOL549114USR,latitude-14-5491-laptop,"{""TechSpecs"":[{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e4-processor"",""Label"":""Processor\r\n"",""Value"":""8th Generation Intel® Core™ i5-8300H Processor (4 Core, 8M Cache, 2.3GHz, 45W)""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/operating-system"",""Label"":""Operating System"",""Value"":""Windows 10 Pro 64bit English, French, Spanish""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/help-me-choose-memory-latit-eseries"",""Label"":""Memory<a class=\""technote microcontent\"" rel=\""technotes:graphic card\"">*</a>"",""Value"":""4GB, 1x4GB, 2666MHz DDR4 Non-ECC""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e-series-hard-drive"",""Label"":""Hard Drive"",""Value"":""2.5\"" 500GB 7200RPM SATA Hard Drive""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e-series-lcd"",""Label"":""Display"",""Value"":""14\"" HD (1366 x 768) Anti-Glare Non-Touch, Camera & Microphone, WLAN/WWAN Capable""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-microsoft-office-2016-commercial"",""Label"":""Productivity Software"",""Value"":""Microsoft Office 30 Day Trial""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-support-services-smb"",""Label"":""Warranty"",""Value"":""3 Years Hardware Warranty with Onsite/In-Home Service after Remote Diagnosis""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-mcafee-commercial"",""Label"":""Security Software"",""Value"":""No Anti-Virus Software""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-mobro"",""Label"":"""",""Value"":""No Mobile Broadband Card""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e4-wireless"",""Label"":""Wireless"",""Value"":""Qualcomm® QCA61x4A 802.11ac Dual Band (2x2) Wireless Adapter+ Bluetooth 4.1""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e-series-battery"",""Label"":""Primary Battery"",""Value"":""4 Cell 68Whr ExpressCharge™ Capable Battery""}]}","8th Generation Intel® Core™ i5-8300H Processor (4 Core, 8M Cache, 2.3GHz, 45W)","Windows 10 Pro 64bit English, French, Spanish","4GB, 1x4GB, 2666MHz DDR4 Non-ECC","2.5"" 500GB 7200RPM SATA Hard Drive","14"" HD (1366 x 768) Anti-Glare Non-Touch, Camera & Microphone, WLAN/WWAN Capable",laptop
XCTOL559015USR,latitude-15-5590-laptop,"{""TechSpecs"":[{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e4-processor"",""Label"":""Processor\r\n"",""Value"":""Intel® Core™ i3-7130U (Dual Core, 3M Cache, 2.7GHz,15W)""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/operating-system"",""Label"":""Operating System"",""Value"":""Windows 10 Pro 64bit English, French, Spanish""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/help-me-choose-memory-latit-eseries"",""Label"":""Memory<a class=\""technote microcontent\"" rel=\""technotes:graphic card\"">*</a>"",""Value"":""4GB, 1x4GB, 2400MHz DDR4 Non-ECC""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e-series-hard-drive"",""Label"":""Hard Drive"",""Value"":""2.5\"" 500GB 7200RPM SATA Hard Drive""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e-series-lcd"",""Label"":""Display"",""Value"":""15.6\"" HD (1366 x 768) Non-Touch Anti-Glare, Microphone only, WLAN Capable""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-microsoft-office-2016-commercial"",""Label"":""Productivity Software"",""Value"":""Microsoft Office 30 Day Trial""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-support-services-smb"",""Label"":""Warranty"",""Value"":""1 Year Hardware Warranty with Onsite/In-Home Service after Remote Diagnosis""},{""LearnMoreUrl"":"""",""Label"":""Security Software"",""Value"":""No Security Software""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-mobro"",""Label"":"""",""Value"":""No Wireless WAN Card""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e4-wireless"",""Label"":""Wireless"",""Value"":""Qualcomm® QCA61x4A 802.11ac Dual Band (2x2) Wireless Adapter+ Bluetooth 4.1""},{""LearnMoreUrl"":""http://www.dell.com/learn/us/en/04/help-me-choose/hmc-latitude-e-series-battery"",""Label"":""Primary Battery"",""Value"":""3 Cell 51Whr ExpressCharge™ Capable Battery""}]}","Intel® Core™ i3-7130U (Dual Core, 3M Cache, 2.7GHz,15W)","Windows 10 Pro 64bit English, French, Spanish","4GB, 1x4GB, 2400MHz DDR4 Non-ECC","2.5"" 500GB 7200RPM SATA Hard Drive","15.6"" HD (1366 x 768) Non-Touch Anti-Glare, Microphone only, WLAN Capable",laptop
XCTOL559115USR,latitude-15-5591-laptop,"{""TechSpecs"":[{""LearnMoreUrl"":"""",""Label"":""Processor\r\n"",""Value"":""8th Generation Intel® Core™ i5-8300H Processor (4 Core, 8M Cache, 2.3GHz, 45W)""},{""LearnMoreUrl"":"""",""Label"":""Operating System"",""Value"":""Windows 10 Pro 64bit English, French, Spanish""},{""LearnMoreUrl"":"""",""Label"":""Memory<a class=\""technote microcontent\"" rel=\""technotes:graphic card\"">*</a>"",""Value"":""4GB, 1x4GB, 2666MHz DDR4 Non-ECC""},{""LearnMoreUrl"":"""",""Label"":""Hard Drive"",""Value"":""2.5\"" 500GB 7200RPM SATA Hard Drive""},{""LearnMoreUrl"":"""",""Label"":""Display"",""Value"":""15.6\"" HD (1366 x 768) Anti-Glare Non-Touch, Camera & Microphone, WLAN Capable""},{""LearnMoreUrl"":"""",""Label"":""Productivity Software"",""Value"":""Microsoft Office 30 Day Trial""},{""LearnMoreUrl"":"""",""Label"":""Warranty"",""Value"":""3 Years Hardware Warranty with Onsite/In-Home Service after Remote Diagnosis""},{""LearnMoreUrl"":"""",""Label"":""Security Software"",""Value"":""No Anti-Virus Software""},{""LearnMoreUrl"":"""",""Label"":"""",""Value"":""No Mobile Broadband Card""},{""LearnMoreUrl"":"""",""Label"":""Wireless"",""Value"":""Qualcomm® QCA61x4A 802.11ac Dual Band (2x2) Wireless Adapter+ Bluetooth 4.1""},{""LearnMoreUrl"":"""",""Label"":""Primary Battery"",""Value"":""4 Cell 68Whr ExpressCharge™ Capable Battery""}]}","8th Generation Intel® Core™ i5-8300H Processor (4 Core, 8M Cache, 2.3GHz, 45W)","Windows 10 Pro 64bit English, French, Spanish","4GB, 1x4GB, 2666MHz DDR4 Non-ECC","2.5"" 500GB 7200RPM SATA Hard Drive","15.6"" HD (1366 x 768) Anti-Glare Non-Touch, Camera & Microphone, WLAN Capable",laptop
